model,prey_score,pred_score,snk_prey_32,snk_pred_32,mmd_prey_32,mmd_pred_32
Stage 1 (per-role),28.77357592956948,16.443633852977598,0.04162577722221613,0.036518287863582376,0.6724977827072144,1.585684942007065
Stage 2 (07_disc_every_2),26.274826805243368,15.72387769701467,0.04429576057940721,0.04385970376431942,0.5976562976837159,1.30355397939682
