epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,469.791,0.96023,0.01264,0.01446,0.48681,0.82181,0.95823,0.92292,0.98099,0.70661,0.9618,0.92718,0.98527,0.98511,0.8535,0.00867,0.00058,0.45931,0.7903,0.00123791,0.00123791,0.00123791
28,486.581,0.89386,0.01256,0.01331,0.47307,0.8136,0.97106,0.95984,0.9894,0.73547,0.97429,0.96365,0.99077,0.99075,0.72787,0.00881,0.00079,0.40737,0.78129,0.00122141,0.00122141,0.00122141
29,503.335,0.85068,0.01217,0.01292,0.4582,0.81207,0.9703,0.9628,0.98817,0.76053,0.97281,0.9649,0.99012,0.99011,0.71088,0.00814,0.00047,0.41178,0.78094,0.00120491,0.00120491,0.00120491
30,520.308,0.89838,0.01167,0.01168,0.46546,0.81466,0.98261,0.95873,0.98986,0.76797,0.98324,0.96075,0.9915,0.99144,0.71158,0.00808,0.00052,0.40934,0.7795,0.0011884,0.0011884,0.0011884
31,537.106,0.89532,0.01176,0.01146,0.47366,0.81495,0.97686,0.95512,0.99035,0.72756,0.97931,0.95837,0.9919,0.99187,0.86991,0.00797,0.00059,0.42868,0.79234,0.0011719,0.0011719,0.0011719
32,553.862,0.90839,0.01163,0.0121,0.46989,0.81582,0.9908,0.95139,0.98967,0.66789,0.98913,0.9567,0.99208,0.99202,0.94654,0.00837,0.00069,0.44474,0.79585,0.0011554,0.0011554,0.0011554
33,570.667,0.87913,0.01237,0.01235,0.4592,0.81708,0.97917,0.9493,0.98755,0.70887,0.97986,0.9511,0.99013,0.99006,0.8821,0.00858,0.00057,0.43664,0.79278,0.00113889,0.00113889,0.00113889
34,587.441,0.84713,0.01146,0.01325,0.45114,0.80983,0.98502,0.95807,0.9906,0.74046,0.98697,0.96017,0.99213,0.9921,0.82705,0.00786,0.00055,0.41585,0.78616,0.00112239,0.00112239,0.00112239
35,604.361,0.81525,0.01131,0.01162,0.43744,0.80797,0.9776,0.95492,0.98917,0.7012,0.97926,0.95651,0.99127,0.99123,0.93962,0.00813,0.00047,0.44474,0.79729,0.00110589,0.00110589,0.00110589
36,621.122,0.89872,0.01139,0.01244,0.45993,0.81672,0.98312,0.95807,0.99071,0.73102,0.98526,0.96031,0.99195,0.99191,0.76192,0.00803,0.00043,0.39112,0.78391,0.00108938,0.00108938,0.00108938
37,637.896,0.81474,0.0105,0.01219,0.43404,0.80792,0.97711,0.96607,0.99134,0.78435,0.97915,0.96806,0.99273,0.9927,0.70568,0.00731,0.00031,0.38484,0.7789,0.00107288,0.00107288,0.00107288
38,654.738,0.83781,0.01093,0.01068,0.44183,0.80979,0.97539,0.9501,0.98812,0.76227,0.97739,0.95308,0.99057,0.99055,0.68771,0.0083,0.00042,0.38042,0.77589,0.00105638,0.00105638,0.00105638
39,671.543,0.81551,0.01098,0.01176,0.43026,0.80985,0.97331,0.95132,0.98692,0.74985,0.97528,0.95655,0.99005,0.99002,0.6987,0.0075,0.00049,0.38277,0.77848,0.00103987,0.00103987,0.00103987
40,688.309,0.85414,0.01052,0.01131,0.43879,0.81278,0.98061,0.9667,0.99037,0.76777,0.98263,0.96776,0.99182,0.99177,0.73355,0.00754,0.00027,0.40535,0.78208,0.00102337,0.00102337,0.00102337
41,705.101,0.80162,0.01033,0.01189,0.43253,0.80628,0.97272,0.95251,0.98765,0.74697,0.97613,0.95703,0.99038,0.99035,0.7432,0.00786,0.00034,0.39821,0.78185,0.00100687,0.00100687,0.00100687
42,722.008,0.80892,0.01088,0.01039,0.43286,0.80725,0.97912,0.95818,0.99039,0.77957,0.98178,0.96028,0.99169,0.99166,0.6742,0.0074,0.00032,0.37802,0.77587,0.000990365,0.000990365,0.000990365
43,738.781,0.78427,0.00991,0.01162,0.41833,0.80375,0.9788,0.95813,0.99044,0.75606,0.98075,0.96012,0.99233,0.99229,0.74489,0.0071,0.00031,0.37652,0.78081,0.000973861,0.000973861,0.000973861
44,755.555,0.7735,0.01012,0.01241,0.41323,0.80519,0.98445,0.96422,0.9869,0.73398,0.98656,0.96652,0.99208,0.99204,0.82744,0.00696,0.00032,0.39498,0.78704,0.000957358,0.000957358,0.000957358
45,772.357,0.7721,0.00997,0.01051,0.41041,0.8049,0.98377,0.95884,0.99028,0.77479,0.9856,0.9641,0.99256,0.99252,0.67801,0.00714,0.00025,0.37724,0.77551,0.000940855,0.000940855,0.000940855
46,789.118,0.8,0.00986,0.01183,0.41487,0.80473,0.9863,0.95506,0.98874,0.77939,0.98947,0.95794,0.99123,0.99118,0.64794,0.00683,0.00028,0.37056,0.7726,0.000924352,0.000924352,0.000924352
47,805.889,0.81628,0.01011,0.01058,0.42166,0.80636,0.96374,0.96667,0.98961,0.72773,0.96607,0.96954,0.99121,0.99119,0.85772,0.00694,0.00029,0.39535,0.78872,0.000907848,0.000907848,0.000907848
48,823.738,0.75701,0.00941,0.01213,0.40336,0.80378,0.97262,0.96387,0.98688,0.76135,0.97447,0.96629,0.9919,0.99188,0.75516,0.00697,0.00031,0.38758,0.78135,0.000891345,0.000891345,0.000891345
49,840.631,0.7529,0.0097,0.01227,0.40329,0.80268,0.98628,0.96813,0.99141,0.68506,0.98843,0.97056,0.99314,0.99311,1.0502,0.00721,0.00034,0.42645,0.80244,0.000874842,0.000874842,0.000874842
50,857.396,0.76735,0.00943,0.01219,0.40711,0.80401,0.98534,0.95536,0.99099,0.78431,0.98575,0.95893,0.99215,0.99211,0.65098,0.00724,0.00026,0.35928,0.77222,0.000858338,0.000858338,0.000858338
51,874.149,0.73869,0.00916,0.00946,0.39352,0.8011,0.9894,0.96422,0.99177,0.77554,0.99111,0.96607,0.99297,0.99295,0.71334,0.00642,0.00023,0.36084,0.77709,0.000841835,0.000841835,0.000841835
52,890.886,0.72981,0.00902,0.01016,0.39177,0.80266,0.98827,0.96171,0.99093,0.76155,0.99003,0.9634,0.9924,0.99236,0.70052,0.00671,0.00034,0.37359,0.77703,0.000825332,0.000825332,0.000825332
